phrase,frequency,category,parent_node,notes
midsize sedan,4,,,
street corner,4,,,
run,4,,,
stright,4,,,
coupe follows,4,,,
stright line,4,,,
jeep drives,4,,,
fork,4,,,
fork road,4,,,
pickup stop,4,,,
green vehicle,3,,,
green car,3,,,
silver hatchback,3,,,
highway behind,3,,,
large maroon,3,,,
maroon pickup,3,,,
among,3,,,
intersection without,3,,,
without stopping,3,,,
light suv,3,,,
vanmpv,3,,,
amidst,3,,,
street amidst,3,,,
straight next,3,,,
hatchback moves,3,,,
moves fast,3,,,
red cargo,3,,,
truck without,3,,,
crossing straight,3,,,
around,3,,,
truck travels,3,,,
travels straight,3,,,
white midsize,3,,,
sedan continues,3,,,
mpv goes,3,,,
medium,3,,,
deep blue,3,,,
truck keep,3,,,
black minivan,3,,,
wide,3,,,
afterward,3,,,
straight past,3,,,
changes,3,,,
big suv,3,,,
straight passed,3,,,
suv following,3,,,
switching lanes,3,,,
sedan keep,3,,,
straight alone,3,,,
slowing,3,,,
allow,3,,,
slightly turns,3,,,
silver van,3,,,
silver car,3,,,
yellow car,3,,,
silver truck,3,,,
brown sedan,3,,,
light green,3,,,
hill past,3,,,
two lane,3,,,
lane road,3,,,
gray pick,3,,,
audi,3,,,
gray audi,3,,,
audi turns,3,,,
suv turned,3,,,
grey pickup,3,,,
sedan merges,3,,,
merges left,3,,,
begins driving,3,,,
bus turns,3,,,
towards,3,,,
opposite,3,,,
opposite direction,3,,,
proceeding,3,,,
sto,3,,,
pbehind,3,,,
sto pbehind,3,,,
big white,3,,,
journey,3,,,
black dodge,3,,,
dodge journey,3,,,
journey crossover,3,,,
crossover continues,3,,,
going left,3,,,
change,3,,,
busy traffic,3,,,
move,3,,,
vehicle stops,3,,,
bmw,3,,,
black bmw,3,,,
bmw coupe,3,,,
wait,3,,,
brown suv,3,,,
suv run,3,,,
suv turning,3,,,
stoped,3,,,
coupe went,3,,,
stoped briefly,3,,,
empty bike,3,,,
thoroughfare,3,,,
busy thoroughfare,3,,,
drives behind,3,,,
goes slowly,3,,,
threeway,3,,,
threeway intersection,3,,,
small sedan,3,,,
groing,3,,,
groing straight,3,,,
sedan grey,3,,,
grey going,3,,,
van white,3,,,
white going,3,,,
right following,3,,,
large truck,3,,,
busy intersection,3,,,
black crossover,3,,,
crossover switches,3,,,
light grey,3,,,
green wagon,3,,,
turns first,3,,,
first turns,3,,,
car running,2,,,
red mpv,2,,,
mpv runs,2,,,
small black,2,,,
sedan passes,2,,,
one,2,,,
five,2,,,
five vehicles,2,,,
vehicles driving,2,,,
small highway,2,,,
midsize gray,2,,,
taxi,2,,,
brown mpv,2,,,
overtakes,2,,,
speeding,2,,,
pickup speeding,2,,,
truck passes,2,,,
lane followed,2,,,
pickup drives,2,,,
within,2,,,
row,2,,,
street within,2,,,
moving traffic,2,,,
approaching,2,,,
getting,2,,,
closer,2,,,
sedan getting,2,,,
getting closer,2,,,
turn signal,2,,,
gray door,2,,,
trailer drives,2,,,
gold,2,,,
gold sedan,2,,,
road pulling,2,,,
long trailer,2,,,
beside,2,,,
wheeler,2,,,
gray truck,2,,,
road beside,2,,,
land,2,,,
black cargo,2,,,
land road,2,,,
suv car,2,,,
truck switches,2,,,
black big,2,,,
big sedan,2,,,
empty street,2,,,
heads,2,,,
suv crossing,2,,,
halt,2,,,
car keeping,2,,,
halt following,2,,,
goes around,2,,,
blue cargo,2,,,
hill next,2,,,
sedan comes,2,,,
car crossing,2,,,
flatbed,2,,,
pickup crosses,2,,,
cargo van,2,,,
car going,2,,,
gray car,2,,,
orange car,2,,,
merge,2,,,
orange sedan,2,,,
car waiting,2,,,
mini,2,,,
sedan running,2,,,
gray coupe,2,,,
truck crosses,2,,,
intersection keeping,2,,,
agile,2,,,
sedan medium,2,,,
chevvy,2,,,
chevvy suv,2,,,
goes forward,2,,,
truck follows,2,,,
middle lane,2,,,
minivan going,2,,,
screen,2,,,
disappears,2,,,
suv enters,2,,,
traveling,2,,,
passing parking,2,,,
chevy,2,,,
another pickup,2,,,
crossroad,2,,,
wide crossroad,2,,,
right afterward,2,,,
multicolored,2,,,
large multicolored,2,,,
multicolored truck,2,,,
sedan door,2,,,
door car,2,,,
car turn,2,,,
silver vanmpv,2,,,
vanmpv turning,2,,,
driving follow,2,,,
van pass,2,,,
theres,2,,,
full,2,,,
theres full,2,,,
car parking,2,,,
road going,2,,,
suv slows,2,,,
blue large,2,,,
black ford,2,,,
ford pickup,2,,,
dodge minivan,2,,,
yield,2,,,
grey door,2,,,
door midsized,2,,,
midsized sedan,2,,,
yield sign,2,,,
sign onto,2,,,
onto another,2,,,
another street,2,,,
starts,2,,,
wagon keeps,2,,,
car follows,2,,,
another purple,2,,,
purple vehicle,2,,,
midsized gray,2,,,
goes left,2,,,
dirty red,2,,,
rack drives,2,,,
afterwards,2,,,
straight afterwards,2,,,
till,2,,,
wagon keeping,2,,,
straight till,2,,,
gets,2,,,
driver gets,2,,,
black bus,2,,,
pedestrian nearby,2,,,
four,2,,,
small four,2,,,
four door,2,,,
sedan waits,2,,,
truck turning,2,,,
gray cross,2,,,
yielding,2,,,
suv yielding,2,,,
sedan slows,2,,,
vehicle runs,2,,,
taupe,2,,,
taupe sedan,2,,,
doesnt,2,,,
completes,2,,,
sedan changes,2,,,
turn doesnt,2,,,
doesnt signal,2,,,
makes change,2,,,
completes left,2,,,
swithches,2,,,
lane towards,2,,,
hatchback goes,2,,,
sedan driving,2,,,
wagon making,2,,,
wagon slows,2,,,
overtaken,2,,,
aside,2,,,
parking aside,2,,,
vehicles follow,2,,,
truck pulls,2,,,
sedan moving,2,,,
following red,2,,,
black midsize,2,,,
toyota,2,,,
blue toyota,2,,,
sedan travels,2,,,
flow,2,,,
traffic flow,2,,,
continue,2,,,
continue straight,2,,,
hatchback follows,2,,,
suvs nearby,2,,,
passenger,2,,,
green mpv,2,,,
mpv stops,2,,,
switches back,2,,,
hatchback groing,2,,,
makes right,2,,,
onto intersection,2,,,
dark sedan,2,,,
xroad,2,,,
move straight,2,,,
end stopped,2,,,
size,2,,,
suv large,2,,,
large size,2,,,
size turns,2,,,
dark vehicle,2,,,
slight,2,,,
slight right,2,,,
onto road,2,,,
silver crossover,2,,,
van making,2,,,
color,2,,,
red color,2,,,
